Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	gzPodHuml1.cds-transcripts	n11	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_000298-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_008760-T1
OG0000000	gzPodHuml1.cds-transcripts	n12	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_011765-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_003244-T1
OG0000000	gzPodHuml1.cds-transcripts	n13	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_011782-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_006681-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_004920-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_005260-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_008765-T1
OG0000000	gzPodHuml1.cds-transcripts	n14	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_011782-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_006681-T1
OG0000000	gzPodHuml1.cds-transcripts	n15	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_004920-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_005260-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_008765-T1
OG0000000	gzPodHuml1.cds-transcripts	n16	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_004920-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_005260-T1
OG0000000	gzPodHuml1.cds-transcripts	n17	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_003257-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_003305-T1
OG0000000	gzPodHuml1.cds-transcripts	n18	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_013481-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013464-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007879-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_13790-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_008751-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_003374-T1
OG0000000	gzPodHuml1.cds-transcripts	n19	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_013481-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013464-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007879-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_13790-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_008751-T1
OG0000000	gzPodHuml1.cds-transcripts	n20	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_013481-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013464-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_007879-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_13790-T1
OG0000000	gzPodHuml1.cds-transcripts	n21	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_013481-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_013464-T1
OG0000000	gzPodHuml1.cds-transcripts	n22	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_007879-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_13790-T1
OG0000000	N5	n23	1.0	Non-Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_011442-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_005379-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013301-T1, ggMorZona1_cds-transcripts_GGMOZO1EN_008942-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007783-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_010884-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_13184-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_011201-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013194-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003377-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013365-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_012430-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007782-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_010864-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013377-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_011924-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_011921-T1	gzLinHyal1_cds-transcripts_GZLIHY1EN_012263-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_012249-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013131-T1, ggMorZona1_cds-transcripts_GGMOZO1EN_12827-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003270-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007903-T1, ggMorZona1_cds-transcripts_GGMOZO1EN_008943-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_012950-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_000026-T1
OG0000000	N5	n24	0.3333333333333333	Non-Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_011442-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_005379-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013301-T1	ggMorZona1_cds-transcripts_GGMOZO1EN_008942-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007783-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_010884-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_13184-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_011201-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013194-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003377-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013365-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_012430-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007782-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_010864-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013377-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_011924-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_011921-T1
OG0000000	gzPodHuml1.cds-transcripts	n25	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_011442-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_005379-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_013301-T1
OG0000000	gzPodHuml1.cds-transcripts	n26	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_011442-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_005379-T1
OG0000000	N5	n28	0.3333333333333333	Non-Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_007783-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_010884-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_13184-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_011201-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013194-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003377-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013365-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_012430-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007782-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_010864-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013377-T1	gzLinHyal1_cds-transcripts_GZLIHY1EN_011924-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_011921-T1
OG0000000	N5	n29	0.6666666666666666	Non-Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_007783-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_010884-T1, gzLinHyal1_cds-transcripts_GZLIHY1EN_13184-T1	gzLinHyal1_cds-transcripts_GZLIHY1EN_011201-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013194-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003377-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013365-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_012430-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007782-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_010864-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013377-T1
OG0000000	gzPodHuml1.cds-transcripts	n31	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_007783-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_010884-T1
OG0000000	gzPodHuml1.cds-transcripts	n33	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_013194-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003377-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_013365-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_012430-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007782-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_010864-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013377-T1
OG0000000	gzPodHuml1.cds-transcripts	n34	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_013194-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_003377-T1
OG0000000	gzPodHuml1.cds-transcripts	n35	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_013365-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_012430-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_007782-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_010864-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013377-T1
OG0000000	gzPodHuml1.cds-transcripts	n36	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_013365-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_012430-T1
OG0000000	gzPodHuml1.cds-transcripts	n37	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_007782-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_010864-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_013377-T1
OG0000000	gzPodHuml1.cds-transcripts	n38	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_010864-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_013377-T1
OG0000000	gzLinHyal1.cds-transcripts	n39	1.0	Terminal	gzLinHyal1_cds-transcripts_GZLIHY1EN_011924-T1	gzLinHyal1_cds-transcripts_GZLIHY1EN_011921-T1
OG0000000	gzLinHyal1.cds-transcripts	n41	1.0	Terminal	gzLinHyal1_cds-transcripts_GZLIHY1EN_012263-T1	gzLinHyal1_cds-transcripts_GZLIHY1EN_012249-T1
OG0000000	N5	n42	0.3333333333333333	Non-Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_013131-T1	ggMorZona1_cds-transcripts_GGMOZO1EN_12827-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003270-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007903-T1, ggMorZona1_cds-transcripts_GGMOZO1EN_008943-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_012950-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_000026-T1
OG0000000	N5	n43	0.3333333333333333	Non-Terminal	ggMorZona1_cds-transcripts_GGMOZO1EN_12827-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003270-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_007903-T1, ggMorZona1_cds-transcripts_GGMOZO1EN_008943-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_012950-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_000026-T1
OG0000000	N5	n44	0.6666666666666666	Non-Terminal	ggMorZona1_cds-transcripts_GGMOZO1EN_12827-T1, gzPodHuml1_cds-transcripts_GZPOHU1EN_003270-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_007903-T1, ggMorZona1_cds-transcripts_GGMOZO1EN_008943-T1
OG0000000	gzPodHuml1.cds-transcripts	n47	1.0	Terminal	gzPodHuml1_cds-transcripts_GZPOHU1EN_012950-T1	gzPodHuml1_cds-transcripts_GZPOHU1EN_000026-T1
